incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,auto_make,auto_model,auto_year,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital_gains,capital_loss
1,3,1,4,5,0,4,1,0,0,0,0,6400.0,6,10,2002,441,55,1,1,500,1270.29,4000000,1,1,1,8,0,24000,-50500
0,2,2,0,5,3,8,3,2,1,1,1,64320.0,0,23,1998,275,45,1,2,2000,1447.77,0,0,0,0,4,5,39400,-63900
2,1,0,0,1,2,7,1,1,2,3,1,92730.0,8,12,2004,421,56,1,0,500,1935.85,4000000,1,5,6,15,3,49500,-81100
0,2,0,3,6,4,0,4,1,0,0,1,66880.0,3,32,1996,4,34,2,2,500,1282.93,0,0,1,3,1,2,0,0
2,1,2,2,6,5,21,1,0,0,1,0,46980.0,0,33,2002,257,44,2,0,1000,1280.88,0,1,4,7,1,2,59400,-32200
0,1,1,0,6,5,18,3,0,0,1,0,32670.0,6,6,2003,135,30,1,2,2000,1341.24,0,0,4,4,16,5,37100,-46500
0,1,0,1,4,5,12,3,0,2,2,0,60500.0,1,5,1995,105,28,2,1,500,1082.36,0,0,0,9,9,3,0,0
1,3,1,3,4,2,8,1,0,2,2,2,5580.0,13,28,2005,291,46,2,2,1000,994.74,0,0,2,0,14,3,0,-55300
0,1,2,0,0,2,21,4,0,0,0,0,42700.0,10,1,1995,238,43,2,1,1000,1524.45,4000000,1,2,5,5,5,0,-44800
1,3,3,4,4,2,10,1,1,2,1,2,6300.0,9,35,2001,190,40,2,2,2000,965.21,0,0,3,3,4,2,36900,-53700
0,0,1,2,4,1,9,3,0,2,1,1,68400.0,5,14,2007,153,34,0,2,1000,873.64,4000000,0,0,8,19,0,800,0
1,3,1,4,6,0,16,1,0,1,1,2,5330.0,11,21,2001,289,49,0,2,2000,1222.48,0,0,3,8,9,4,0,0
0,2,2,3,1,2,19,3,2,2,0,2,94930.0,0,31,2014,13,21,1,0,1000,1556.31,0,1,0,9,9,1,0,-75000
0,2,2,0,1,2,20,2,0,2,1,2,86060.0,13,28,2002,295,48,2,2,1000,1332.07,0,0,4,3,14,4,49700,-59100
0,2,2,2,1,1,15,3,2,0,1,1,62810.0,9,35,1999,208,36,2,0,2000,1209.41,5000000,1,3,6,0,5,0,0
2,0,0,3,2,0,5,1,1,1,2,0,63400.0,3,34,2014,256,41,0,1,2000,1415.74,6000000,0,6,1,2,4,48900,-62400
0,0,0,3,6,0,22,4,2,2,0,1,71760.0,7,17,2010,332,47,0,0,2000,1083.01,0,1,4,2,13,2,91900,0
2,1,1,2,5,5,6,1,0,1,3,0,77880.0,5,13,2005,237,40,1,0,1000,883.31,0,1,1,2,11,0,0,-53500
2,0,2,0,1,6,4,1,2,0,1,2,73500.0,7,36,1999,245,41,1,2,2000,1212.0,0,1,5,3,1,4,24400,-60500
0,2,0,1,4,6,1,4,2,1,2,0,72840.0,4,27,2010,303,50,0,0,2000,836.11,5000000,1,5,11,4,1,0,0
3,3,3,3,6,5,9,1,0,2,1,0,2700.0,6,6,2006,289,45,2,1,2000,1221.41,0,0,5,4,12,5,46700,-72500
0,0,2,2,5,5,12,3,0,1,3,2,79080.0,8,7,2012,169,38,0,0,1000,1555.94,0,1,6,2,16,3,23300,0
1,3,1,4,4,0,9,1,0,1,0,0,5170.0,12,9,2001,101,27,0,2,500,982.7,6000000,0,1,13,18,4,30800,-43700
1,3,3,3,0,3,23,1,0,0,3,0,5700.0,10,2,2001,380,53,0,1,2000,1166.62,6000000,1,0,8,3,5,0,0
2,1,1,2,5,6,3,1,2,2,0,2,70500.0,11,15,2007,446,61,0,0,1000,1232.79,0,0,2,0,15,4,49900,-62100
2,1,1,1,1,2,4,1,0,1,3,2,90000.0,5,16,2015,164,38,0,1,2000,1269.76,0,0,6,13,19,1,44300,0
1,3,3,3,4,3,4,1,0,0,3,0,6050.0,13,28,2009,78,27,2,2,500,1060.88,0,1,3,7,16,2,0,-66500
0,0,2,3,6,6,10,2,2,1,3,0,77990.0,7,36,2012,369,53,2,1,2000,1459.93,0,0,5,8,18,1,0,0
0,0,2,3,1,3,15,3,1,1,2,0,61100.0,4,27,2008,50,44,2,1,2000,1188.51,0,1,1,5,3,4,0,-65800
0,1,1,0,6,3,1,3,2,1,0,0,32320.0,4,30,2000,61,25,1,0,2000,988.06,0,0,5,7,7,1,0,0
0,1,0,3,1,2,4,3,1,2,0,1,62300.0,7,36,2007,431,54,1,2,2000,1155.55,0,0,4,2,3,4,65700,0
1,3,3,3,1,1,5,1,1,0,2,0,5670.0,5,14,1997,267,40,0,1,500,1155.53,5000000,1,3,13,4,5,0,-35200
2,1,1,0,6,1,19,1,0,2,2,1,40000.0,2,22,2010,79,26,0,0,500,1451.62,0,1,0,12,11,1,0,-55700
2,1,2,1,1,1,14,1,0,0,2,0,57330.0,4,27,2006,108,31,1,2,2000,1175.7,0,1,5,10,19,1,0,0
0,0,0,0,6,0,3,3,1,1,3,2,63580.0,13,20,2004,254,46,0,1,2000,1472.43,0,1,4,12,1,0,0,-90600
2,0,1,2,1,1,10,1,1,2,3,2,58500.0,4,30,1999,143,34,0,0,500,1442.27,0,1,1,8,8,5,67900,0
0,0,0,3,6,4,12,3,0,1,3,1,61920.0,10,2,2003,239,38,2,1,1000,1276.73,5000000,0,5,5,3,2,0,0
2,2,1,2,6,2,12,1,0,0,3,2,56300.0,2,22,2011,119,32,0,2,1000,993.51,0,1,2,1,3,4,0,-49500
3,3,3,4,2,1,9,1,1,1,2,1,7080.0,4,30,1999,210,37,1,2,2000,1048.46,0,1,2,8,16,1,59900,0
0,2,1,0,5,6,18,3,2,1,0,2,42930.0,2,38,2005,192,40,0,0,1000,1405.99,0,0,0,11,19,5,0,0
2,2,2,3,5,3,10,1,1,0,1,2,58160.0,10,3,1996,380,56,2,0,1000,1570.86,0,1,4,4,6,2,66000,0
2,2,2,0,6,6,1,1,2,2,1,0,51390.0,12,11,2013,163,36,1,1,1000,1503.21,0,1,4,7,6,0,55700,-49900
1,3,1,3,6,3,3,1,0,1,1,0,2970.0,12,18,2008,165,33,2,0,1000,1427.14,0,0,0,12,11,2,35300,-58100
2,0,2,1,1,5,1,1,0,0,2,1,77000.0,0,31,2004,280,43,1,0,1000,1559.34,0,1,3,13,10,3,0,-51600
0,0,2,0,1,1,6,3,0,0,2,1,75400.0,4,27,2005,19,29,2,1,500,1304.35,0,1,3,13,6,1,0,0
2,2,0,1,1,6,23,1,1,2,3,1,44640.0,12,9,2005,129,28,2,2,1000,1377.94,0,1,5,6,0,1,0,0
2,1,0,1,4,4,16,1,1,1,2,1,72200.0,2,22,2013,227,38,2,2,500,976.67,0,0,6,5,14,4,0,0
2,2,0,2,1,1,23,1,0,1,3,0,62640.0,8,7,2009,229,41,2,1,2000,1107.59,3000000,1,6,12,5,1,65400,0
2,2,1,2,1,6,6,1,0,2,0,1,95810.0,2,37,2007,138,33,0,1,500,1362.87,5000000,0,3,3,13,3,56900,-56900
3,3,1,3,5,5,9,1,1,0,0,0,3690.0,5,13,2015,200,40,0,0,1000,1439.34,0,0,2,11,8,2,45300,-20400
2,2,2,1,4,4,13,1,1,1,2,0,72120.0,8,24,2009,123,31,1,1,500,1326.0,0,0,0,9,1,5,0,-54600
0,1,0,0,6,3,0,4,1,0,3,0,76890.0,2,38,2007,239,39,0,0,500,1396.83,0,0,5,7,15,0,0,0
2,1,2,3,1,5,19,1,1,0,2,2,71440.0,8,24,2005,328,49,2,2,500,1434.51,0,0,5,13,3,5,0,0
0,2,2,2,6,6,23,2,1,2,3,2,65100.0,10,2,2011,75,25,0,2,1000,1389.86,0,0,0,8,10,0,0,0
2,2,0,0,4,6,22,1,1,1,3,1,82800.0,7,17,2004,177,33,0,0,1000,1609.67,0,1,1,0,19,5,0,-13200
0,0,2,1,6,3,13,3,0,1,1,0,51210.0,7,36,2015,293,45,0,0,1000,1119.23,0,0,4,3,8,4,51500,0
2,1,2,1,1,6,20,1,2,2,3,2,49400.0,7,36,2005,163,37,1,1,500,1178.95,6000000,0,3,8,7,3,0,-67300
3,3,1,4,0,0,8,1,2,0,0,1,8970.0,4,27,2011,41,33,2,1,500,1294.41,0,1,2,13,17,0,0,0
0,1,0,2,2,0,16,3,0,1,3,2,71500.0,5,13,2006,8,35,2,0,2000,1266.92,0,1,5,11,14,3,0,0
0,0,0,1,4,6,21,3,2,1,2,2,114920.0,1,4,2006,447,61,2,0,2000,1137.16,0,0,2,3,16,2,0,-51000
2,1,2,0,4,0,7,1,2,1,1,0,46200.0,1,5,1997,204,40,2,1,2000,1767.02,0,1,3,6,10,0,0,-49300
2,1,0,3,4,3,14,1,2,0,1,2,86130.0,11,21,2009,39,22,1,2,500,1173.21,0,1,3,4,14,1,0,0
3,3,1,3,0,5,6,1,0,1,2,0,6300.0,8,7,2001,389,53,0,2,2000,791.47,0,1,5,1,5,4,0,0
0,2,1,0,6,4,17,3,0,2,0,2,77200.0,5,13,1996,134,36,2,1,1000,1497.41,0,1,6,6,11,0,14100,-44500
2,1,1,3,4,6,14,1,0,2,1,0,54400.0,2,22,2011,223,43,2,2,500,1235.1,0,0,5,12,8,1,66400,-34400
3,3,1,4,4,3,3,1,2,2,0,0,5220.0,0,23,2015,146,31,2,1,2000,1082.72,0,0,6,6,18,1,61400,-57500
2,0,1,3,1,5,8,1,2,2,2,0,63470.0,2,38,1999,254,41,0,1,500,1581.27,5000000,0,6,5,16,3,42200,-48000
1,3,3,4,4,5,13,1,0,0,3,2,7260.0,10,1,2008,246,45,1,1,500,1594.37,0,1,0,3,2,3,0,0
3,3,1,3,0,2,7,1,0,2,0,0,6120.0,12,11,2015,63,24,2,1,2000,1620.89,0,0,2,5,12,2,0,0
0,1,2,2,1,0,15,3,1,2,1,0,60750.0,11,15,2003,20,37,0,1,500,1482.14,0,0,0,13,15,0,33000,-43600
1,3,3,4,6,0,6,1,2,0,3,1,5200.0,0,23,2006,223,43,2,1,500,1734.09,0,0,4,0,4,1,0,0
3,3,3,3,1,0,3,1,0,2,1,1,4730.0,3,25,2013,186,33,1,0,1000,1348.32,0,0,0,2,6,5,37600,-37600
0,1,1,1,4,4,20,3,1,1,0,2,48870.0,10,3,1999,233,39,2,2,2000,1524.18,0,1,3,2,15,4,0,0
0,0,2,3,5,1,23,3,1,2,2,2,51590.0,1,5,2015,165,37,0,0,1000,1137.03,0,1,0,12,0,4,0,0
0,1,1,0,4,4,4,3,2,0,0,2,51030.0,11,19,1996,37,25,2,0,1000,1221.17,0,0,5,10,9,1,49300,0
0,1,2,0,1,2,12,3,0,2,3,2,36300.0,5,13,2013,206,39,1,1,1000,1302.4,6000000,1,3,2,7,4,47200,-69700
3,3,1,4,6,2,3,1,0,1,0,2,4620.0,13,20,2012,229,43,1,1,2000,1585.54,0,1,2,10,15,1,42600,-44400
2,2,1,0,1,1,13,1,2,0,0,0,58500.0,0,23,1995,274,45,1,1,1000,1353.53,0,0,3,12,6,4,54700,-47900
2,1,1,0,0,6,9,1,0,2,0,1,50000.0,7,36,2009,439,56,2,0,500,1280.9,0,1,2,1,18,3,48900,-40900
2,0,0,1,4,0,3,1,2,2,0,0,107900.0,4,27,1997,112,30,2,2,1000,1166.54,0,0,5,9,17,1,47700,-59300
2,1,0,0,6,0,16,1,1,2,1,1,79970.0,6,8,1996,43,43,0,2,500,1320.39,0,0,0,1,19,1,0,0
0,2,0,0,0,1,4,3,1,1,0,0,50800.0,1,4,1997,34,34,2,2,500,1295.87,0,0,6,8,5,0,0,0
0,2,0,1,4,1,14,2,1,2,2,1,74700.0,9,26,2007,255,43,1,2,500,984.02,0,0,3,13,2,4,75800,0
2,2,1,1,4,6,12,1,2,0,1,0,89700.0,1,5,2009,107,31,1,1,500,1239.22,7000000,0,2,12,13,1,43400,-91200
0,2,1,2,0,6,4,3,1,2,1,2,51400.0,6,10,1996,243,44,0,1,500,809.11,0,1,3,2,14,2,33200,0
2,2,2,1,5,2,13,1,0,0,3,1,52700.0,12,11,2005,285,42,1,0,500,1389.13,0,1,0,8,9,1,63100,-79400
3,3,3,3,4,3,7,1,1,2,3,1,6600.0,0,23,2012,398,55,2,1,500,862.19,0,1,2,0,12,4,69400,0
0,2,2,0,3,2,23,3,1,2,1,2,64260.0,5,13,1999,193,40,2,0,500,1233.85,0,0,1,5,5,0,0,0
2,0,0,2,1,0,2,1,1,0,2,0,47630.0,12,11,2005,343,52,0,2,1000,1053.02,0,0,0,9,3,1,0,0
0,1,2,0,4,2,23,3,0,1,3,1,78600.0,4,30,2004,46,41,2,0,2000,998.19,0,0,4,8,18,0,43700,-66300
0,2,2,0,6,5,6,3,0,1,1,1,74700.0,11,15,1997,76,24,2,1,1000,1622.67,0,0,4,8,13,0,0,0
0,2,0,1,5,5,17,3,1,2,0,2,51100.0,1,4,2006,53,36,2,2,2000,1712.68,0,1,0,5,1,1,72200,0
0,0,0,0,4,4,3,3,1,0,3,1,31350.0,6,6,2001,10,26,1,0,2000,765.64,0,1,4,11,0,1,0,-22200
0,1,2,3,5,5,9,3,2,0,3,0,46200.0,11,21,2015,169,39,2,0,2000,1140.15,0,1,2,1,8,0,0,-36800
0,0,2,3,6,1,21,3,0,0,0,2,35860.0,2,37,2005,335,48,0,2,2000,1017.97,0,0,4,6,5,5,59900,-34800
0,0,0,2,6,0,1,2,0,2,1,1,74400.0,2,22,2003,85,31,0,1,2000,1234.69,9000000,0,4,12,13,0,0,0
2,1,2,3,6,2,17,1,1,2,1,2,47300.0,13,20,2006,176,36,2,1,500,1865.83,5000000,1,1,13,11,4,32800,-50600
1,3,1,4,1,6,6,1,1,1,3,1,6000.0,11,19,2000,45,31,1,0,500,1459.5,0,1,4,8,12,1,0,0
0,1,0,1,4,4,21,3,0,2,2,0,63250.0,3,34,2002,20,23,2,2,1000,1711.72,0,0,3,12,0,5,0,0
2,0,1,2,1,5,23,1,1,2,2,1,53460.0,13,20,2009,254,40,0,1,500,1390.89,5000000,1,1,1,3,5,0,-74400
0,0,1,3,1,6,3,3,0,2,0,1,64680.0,7,36,2010,178,39,0,0,500,1035.99,0,0,3,3,17,3,0,0
0,1,2,2,1,0,17,3,0,2,3,1,55120.0,0,23,2002,265,40,0,1,1000,1454.43,0,0,4,10,19,0,0,0
0,1,2,2,4,6,2,2,0,1,2,0,53680.0,0,23,2004,147,37,2,2,1000,1439.9,6000000,0,0,9,18,0,0,-48400
0,1,2,2,4,3,10,3,1,0,2,0,30700.0,7,36,2010,192,38,1,2,1000,1281.43,0,0,5,13,16,1,65100,-50300
2,2,0,0,6,5,21,1,2,2,1,0,85900.0,11,15,2005,269,41,2,0,2000,1422.21,0,0,0,5,14,4,0,-46400
1,3,1,4,0,0,7,1,0,0,0,1,7400.0,4,27,2014,144,36,1,2,2000,1255.68,6000000,0,0,11,15,2,23600,-15600
2,0,1,2,1,2,20,1,1,1,1,2,87100.0,10,1,2000,120,30,1,1,500,956.69,0,0,0,8,12,0,39600,-64300
2,2,1,3,5,2,19,1,2,0,2,2,70920.0,7,36,2002,86,28,1,0,2000,1595.07,0,1,6,13,10,4,75800,0
2,2,2,3,3,3,6,1,0,1,0,0,73400.0,4,27,1996,102,28,2,1,500,1075.41,0,1,4,6,15,5,55200,0
0,1,0,0,4,2,20,3,0,0,0,2,71520.0,11,15,2000,370,55,0,0,2000,972.18,0,1,2,9,13,2,72700,-68200
2,2,1,2,4,3,21,1,0,1,0,2,69840.0,4,27,2009,224,40,2,0,2000,1291.7,0,0,3,11,11,1,0,-55600
0,1,0,1,0,5,0,3,0,2,3,0,81240.0,8,7,2008,258,41,0,0,500,1042.25,0,1,5,3,15,4,0,-44400
0,1,0,1,4,0,19,3,0,0,2,0,64100.0,10,3,2003,256,39,2,1,1000,1351.1,0,0,6,12,3,4,0,0
2,2,1,3,4,6,18,1,1,1,2,1,50490.0,9,26,2001,252,39,1,1,1000,1086.21,0,1,3,4,10,4,68500,-57500
2,2,0,3,4,5,10,1,0,2,3,1,63030.0,10,1,1996,26,42,2,0,1000,1484.48,0,1,6,1,17,1,50700,-36300
3,3,3,4,4,4,9,1,1,2,0,1,2800.0,13,28,2015,154,36,0,1,2000,1313.51,7000000,0,5,3,7,3,68500,0
2,0,0,2,1,5,10,1,1,2,3,0,58300.0,9,26,2014,460,57,2,0,2000,1567.37,0,0,3,2,16,0,62500,0
2,1,0,2,5,0,13,1,1,2,3,1,55110.0,9,26,2002,145,37,2,1,2000,1434.27,0,0,0,12,17,4,0,-35900
